ticker,name,price,fetched_at,c1_price_vs_52w_low_passes,c1_price_vs_52w_low_value,c2_market_cap_passes,c2_market_cap_value,c3_eps_growth_passes,c3_eps_growth_value,c4_avg_volume_passes,c4_avg_volume_value,c5_price_vs_sma50_passes,c5_price_vs_sma50_value,c6_volatility_1m_passes,c6_volatility_1m_value,c7_revenue_growth_passes,c7_revenue_growth_value,c8_float_passes,c8_float_value,c9_us_market_passes,c9_us_market_value,passes_all,error
A,"Agilent Technologies, Inc.",135.98,2026-06-02T00:19:01.938977+00:00,False,+25.5%,True,$38376.0M,True,+60.0%,True,2265.7K,True,$135.98 / SMA $116.31,True,3.09%,,,False,281.3M,True,NYQ,False,
AA,Alcoa Corporation,77.76,2026-06-02T00:07:22.880878+00:00,True,+201.0%,True,$20520.1M,False,+-22.7%,True,5460.1K,True,$77.76 / SMA $66.62,True,4.00%,False,+-5.2%,False,262.8M,True,NYQ,False,
AACI,Armada Acquisition Corp. III,9.96,2026-06-02T23:37:28.755089+00:00,False,+2.3%,True,$338.9M,,N/A,False,27.2K,True,$9.96 / SMA_short $9.91,False,0.14%,,N/A,True,25.1M,True,NGM,False,
AACO,Abony Acquisition Corp. I,9.89,2026-06-02T00:05:11.245267+00:00,False,+0.5%,True,$310.2M,,,False,5.8K,False,$9.89 / SMA_short $9.90,False,0.06%,,,True,23.2M,True,NGM,False,
AAFRF,Airtel Africa Plc,4.5,2026-06-01T23:55:58.357210+00:00,True,+100.4%,True,$16419.4M,True,+36.1%,False,3.5K,False,$4.50 / SMA $4.84,False,1.00%,True,+32.9%,False,757.9M,False,PNK,False,
AAIGF,AIA Group Limited,10.4,2026-06-02T00:06:57.195285+00:00,False,+30.0%,True,$107807.6M,,,False,20.5K,False,$10.40 / SMA $10.73,True,5.06%,,,False,10460.1M,False,PNK,False,
AAL,American Airlines Group Inc.,14.34,2026-06-02T00:07:40.067371+00:00,False,+42.1%,True,$9484.3M,False,+19.4%,True,68480.4K,True,$14.34 / SMA $12.11,True,3.92%,False,+10.8%,False,654.0M,True,NMS,False,
AAMI,Acadian Asset Management Inc.,72.3,2026-06-02T00:11:21.827685+00:00,True,+147.1%,True,$2576.0M,True,+25.9%,False,347.7K,True,$72.30 / SMA $64.75,True,3.72%,True,+39.3%,True,27.3M,True,NYQ,False,
AANNF,Aroundtown SA,3.5,2026-06-02T00:11:02.980180+00:00,False,+34.6%,True,$3624.4M,False,+-75.0%,False,0.0K,True,$3.50 / SMA $2.68,False,0.00%,False,+0.6%,False,450.0M,False,PNK,False,
AAON,"AAON, Inc.",138.66,2026-06-02T00:19:20.365843+00:00,True,+123.6%,True,$11357.9M,True,+37.1%,True,1061.0K,True,$138.66 / SMA $105.39,True,6.50%,True,+54.3%,True,68.0M,True,NMS,True,
AAPG,AAPG,19.08,2026-06-02T00:11:28.278981+00:00,False,+2.8%,True,$1780.9M,,,False,4.9K,False,$19.08 / SMA $22.93,True,3.81%,,,False,284.3M,True,NGM,False,
AAPL,Apple Inc.,306.31,2026-06-01T23:55:32.269003+00:00,False,+57.0%,True,$4498883.9M,False,+21.8%,True,44266.9K,True,$306.31 / SMA $276.26,False,1.88%,False,+16.6%,False,14662.5M,True,NMS,False,
AARTY,Airtel Africa Plc,48.75,2026-06-01T23:55:59.078712+00:00,True,+141.9%,True,$17787.6M,True,+36.1%,False,0.1K,True,$48.75 / SMA $41.99,False,0.01%,True,+32.9%,False,757.9M,False,PNK,False,
AAT,"American Assets Trust, Inc.",23.42,2026-06-02T00:24:53.533197+00:00,False,+32.2%,True,$1816.7M,False,+-88.6%,False,368.5K,True,$23.42 / SMA $20.45,False,2.10%,False,+1.8%,True,48.2M,True,NYQ,False,
AAUKF,Anglo American plc,57.0,2026-06-02T23:27:42.707755+00:00,True,+111.7%,True,$61074.8M,,N/A,False,1.5K,True,$57.00 / SMA $49.03,False,1.06%,,N/A,False,951.3M,False,OQX,False,
AAVMY,ABN AMRO Bank N.V.,40.09,2026-06-02T23:27:49.340746+00:00,False,+54.8%,True,$32705.5M,False,+13.0%,False,23.7K,True,$40.09 / SMA $34.64,False,1.26%,False,+6.8%,False,522.4M,False,PNK,False,
AAVVF,Advantage Energy Ltd.,7.12,2026-06-02T00:13:16.623152+00:00,False,+5.8%,True,$1194.5M,,,False,156.2K,False,$7.12 / SMA $7.46,False,2.48%,True,+25.3%,True,144.9M,False,PNK,False,
AAVXF,ABIVAX Société Anonyme,126.0,2026-06-02T00:19:22.050931+00:00,True,+1647.6%,True,$10041.5M,True,+26.5%,False,0.0K,True,$126.00 / SMA $116.89,False,0.00%,,,True,58.2M,False,PNK,False,
AAXBF,AAXBF,0.3,2026-06-02T00:01:40.233869+00:00,False,+20.0%,,,,,False,3.9K,False,$0.30 / SMA_short $0.32,,,,,,,False,PNK,False,
AB,AllianceBernstein Holding L.P.,37.03,2026-06-02T23:31:27.136648+00:00,False,+4.0%,True,$3458.7M,True,+37.3%,False,327.7K,False,$37.03 / SMA $37.72,False,1.81%,False,+11.5%,True,92.6M,True,NYQ,False,
ABANF,Automatic Bank Services Limited,6.97,2026-06-02T00:16:54.435089+00:00,False,+18.1%,False,$279.1M,False,+-34.6%,False,0.0K,True,$6.97 / SMA $6.58,False,0.00%,False,+0.7%,,,False,PNK,False,
ABAT,American Battery Technology Company,3.58,2026-06-02T00:04:58.713277+00:00,True,+198.3%,True,$488.4M,False,+-85.7%,True,4374.0K,True,$3.58 / SMA $3.14,True,8.47%,True,+697.1%,True,131.7M,True,NCM,False,
ABBNY,ABB Ltd,106.96,2026-06-02T00:06:54.556067+00:00,True,+90.4%,True,$194159.0M,True,+37.7%,False,272.6K,True,$106.96 / SMA $95.86,False,1.85%,False,+9.2%,False,1813.9M,False,PNK,False,
