ticker,name,price,fetched_at,c1_price_vs_52w_low_passes,c1_price_vs_52w_low_value,c2_market_cap_passes,c2_market_cap_value,c3_eps_growth_passes,c3_eps_growth_value,c4_avg_volume_passes,c4_avg_volume_value,c5_price_vs_sma50_passes,c5_price_vs_sma50_value,c6_volatility_1m_passes,c6_volatility_1m_value,c7_revenue_growth_passes,c7_revenue_growth_value,c8_float_passes,c8_float_value,c9_us_market_passes,c9_us_market_value,passes_all,error
AAPL,Apple Inc.,308.82,2026-05-23T22:48:35.440273+00:00,False,+58.3%,True,$4535749.2M,False,+21.8%,True,43771.1K,True,$308.82 / SMA $270.36,False,1.92%,False,+16.6%,False,14662.4M,True,NMS,False,
ABT,Abbott Laboratories,87.41,2026-05-23T22:48:47.286226+00:00,False,+6.6%,True,$152251.9M,False,+-19.7%,True,12220.0K,False,$87.41 / SMA $95.78,False,2.32%,False,+7.8%,False,1731.2M,True,NYQ,False,
ADBE,Adobe Inc.,244.76,2026-05-23T22:48:35.484426+00:00,False,+9.2%,True,$98932.0M,False,+11.1%,True,5506.6K,False,$244.76 / SMA $244.89,True,3.19%,False,+12.0%,False,403.0M,True,NMS,False,
AMAT,"Applied Materials, Inc.",432.16,2026-05-23T22:48:47.112476+00:00,True,+181.6%,True,$343117.5M,True,+33.5%,True,6795.0K,True,$432.16 / SMA $388.52,True,3.79%,,,False,790.5M,True,NMS,False,
AMD,"Advanced Micro Devices, Inc.",467.51,2026-05-23T22:48:58.119362+00:00,True,+330.4%,True,$762322.1M,True,+90.9%,True,38893.1K,True,$467.51 / SMA $303.19,True,5.85%,True,+37.8%,False,1621.8M,True,NMS,False,
AMGN,Amgen Inc.,339.3,2026-05-23T22:48:50.632944+00:00,False,+26.7%,True,$183123.0M,False,+4.4%,True,2647.6K,False,$339.30 / SMA $341.58,False,2.18%,False,+5.8%,False,538.2M,True,NMS,False,
AMZN,"Amazon.com, Inc.",266.32,2026-05-23T22:48:49.958634+00:00,False,+35.9%,True,$2864833.6M,True,+74.8%,True,45115.2K,True,$266.32 / SMA $241.92,False,2.49%,False,+16.6%,False,9779.9M,True,NMS,False,
ASML,ASML Holding N.V.,1632.9,2026-05-23T22:48:46.398177+00:00,True,+138.9%,True,$629348.5M,False,+19.2%,True,1733.7K,True,$1632.90 / SMA $1434.20,True,3.27%,False,+13.2%,False,385.3M,True,NMS,False,
AVGO,Broadcom Inc.,414.14,2026-05-23T22:48:46.355738+00:00,True,+79.2%,True,$1960815.6M,True,+31.6%,True,23868.6K,True,$414.14 / SMA $376.96,True,3.42%,True,+29.5%,False,4675.6M,True,NMS,False,
BAC,Bank of America Corporation,51.8,2026-05-23T22:48:58.201321+00:00,False,+19.6%,True,$367603.4M,False,+24.7%,True,38655.2K,True,$51.80 / SMA $50.84,False,2.03%,False,+7.2%,False,7069.1M,True,NYQ,False,
CAT,Caterpillar Inc.,879.89,2026-05-23T22:48:55.117659+00:00,True,+159.2%,True,$405270.3M,True,+30.2%,True,2532.1K,True,$879.89 / SMA $798.08,False,2.88%,False,+22.2%,False,459.2M,True,NYQ,False,
COST,Costco Wholesale Corporation,1028.24,2026-05-23T22:48:35.461715+00:00,False,+21.8%,True,$456181.3M,False,+13.9%,True,1862.8K,True,$1028.24 / SMA $1007.01,False,2.02%,False,+9.2%,False,440.9M,True,NMS,False,
CRM,"Salesforce, Inc.",180.07,2026-05-23T22:48:42.520131+00:00,False,+10.1%,True,$147306.9M,False,+18.3%,True,13504.0K,False,$180.07 / SMA $181.78,True,3.45%,False,+12.1%,False,894.4M,True,NYQ,False,
CSCO,"Cisco Systems, Inc.",120.41,2026-05-23T22:48:36.076267+00:00,True,+93.3%,True,$474588.2M,True,+37.1%,True,22969.8K,True,$120.41 / SMA $89.77,False,2.90%,False,+12.0%,False,3934.7M,True,NMS,False,
CVX,Chevron Corporation,191.43,2026-05-23T22:48:46.484049+00:00,False,+41.6%,True,$381251.5M,False,+-44.5%,True,12168.3K,False,$191.43 / SMA $191.68,False,2.09%,False,+3.2%,False,1882.0M,True,NYQ,False,
DE,Deere & Company,529.15,2026-05-23T22:48:55.166274+00:00,False,+22.2%,True,$142927.3M,False,+-1.4%,True,1255.7K,False,$529.15 / SMA $575.89,False,2.75%,,,False,269.6M,True,NYQ,False,
DIS,The Walt Disney Company,103.0,2026-05-23T22:48:58.783170+00:00,False,+11.7%,True,$178860.7M,False,+-29.8%,True,9774.7K,True,$103.00 / SMA $101.32,False,2.24%,False,+6.5%,False,1733.7M,True,NYQ,False,
GE,GE Aerospace,302.84,2026-05-23T22:48:58.853552+00:00,False,+30.4%,True,$316416.2M,False,+-1.1%,True,5926.6K,True,$302.84 / SMA $293.96,False,2.80%,False,+24.7%,False,1039.4M,True,NYQ,False,
GOOGL,Alphabet Inc.,382.97,2026-05-23T22:48:46.420173+00:00,True,+136.4%,True,$4639851.3M,True,+81.9%,True,28564.5K,True,$382.97 / SMA $341.14,False,2.56%,False,+21.8%,False,10813.7M,True,NMS,False,
HD,"The Home Depot, Inc.",313.07,2026-05-23T22:48:42.610171+00:00,False,+8.3%,True,$311826.4M,False,+-4.3%,True,4338.8K,False,$313.07 / SMA $326.46,False,2.41%,,,False,992.3M,True,NYQ,False,
HON,Honeywell International Inc.,227.92,2026-05-23T22:48:43.304627+00:00,False,+22.0%,True,$144422.2M,False,+-41.9%,True,3930.7K,True,$227.92 / SMA $221.74,False,2.09%,False,+2.4%,False,600.9M,True,NMS,False,
IBM,International Business Machines Corporation,253.84,2026-05-23T22:48:58.873056+00:00,False,+19.5%,True,$238580.5M,False,+14.3%,True,6625.8K,True,$253.84 / SMA $236.56,False,2.90%,False,+9.5%,False,937.9M,True,NYQ,False,
INTU,Intuit Inc.,319.94,2026-05-23T22:48:36.118793+00:00,False,+5.8%,True,$87515.4M,False,+10.7%,True,4035.1K,False,$319.94 / SMA $402.03,True,4.04%,False,+10.4%,False,267.3M,True,NMS,False,
JNJ,Johnson & Johnson,234.34,2026-05-23T22:48:54.517145+00:00,False,+57.2%,True,$564107.2M,False,+-52.9%,True,7777.2K,True,$234.34 / SMA $233.36,False,1.60%,False,+9.9%,False,2403.3M,True,NYQ,False,
JPM,JPMorgan Chase & Co.,306.38,2026-05-23T22:48:36.266146+00:00,False,+17.7%,True,$820948.7M,False,+17.2%,True,9399.6K,True,$306.38 / SMA $301.22,False,1.83%,False,+9.9%,False,2665.3M,True,NYQ,False,
KO,The Coca-Cola Company,81.48,2026-05-23T22:48:54.489562+00:00,False,+24.7%,True,$350566.3M,False,+18.2%,True,15255.1K,True,$81.48 / SMA $77.44,False,1.45%,False,+12.1%,False,3873.9M,True,NYQ,False,
LLY,Eli Lilly and Company,1065.0,2026-05-23T22:48:42.590713+00:00,True,+70.7%,True,$949704.6M,True,+169.9%,True,3065.6K,True,$1065.00 / SMA $941.92,False,2.93%,True,+55.5%,False,889.3M,True,NYQ,False,
LMT,Lockheed Martin Corporation,533.24,2026-05-23T22:48:47.216257+00:00,False,+30.0%,True,$122945.7M,False,+-11.5%,True,1553.7K,False,$533.24 / SMA $572.94,False,2.30%,False,+0.3%,False,197.6M,True,NYQ,False,
MA,Mastercard Incorporated,498.54,2026-05-23T22:48:58.167636+00:00,False,+3.8%,True,$440501.9M,False,+21.2%,True,3556.2K,False,$498.54 / SMA $501.53,False,2.17%,False,+15.8%,False,875.8M,True,NYQ,False,
MCD,McDonald's Corporation,282.27,2026-05-23T22:48:55.095221+00:00,False,+3.8%,True,$200554.5M,False,+6.9%,True,3481.0K,False,$282.27 / SMA $298.45,False,1.93%,False,+9.4%,False,709.5M,True,NYQ,False,
META,"Meta Platforms, Inc.",610.26,2026-05-23T22:48:35.526631+00:00,False,+17.3%,True,$1549098.3M,True,+62.4%,True,15365.2K,False,$610.26 / SMA $617.80,False,2.21%,True,+33.1%,False,2192.7M,True,NMS,False,
